url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
24,5,4,10,2,0,0,2,0,0,0,0,1,0,0,0,1
40,12,0,25,2,0,1,2,4,0,0,0,0,0,0,0,0
22,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
33,7,0,22,1,1,0,2,0,0,0,0,0,0,0,0,0
48,3,0,40,2,1,0,5,0,0,0,0,0,0,0,0,1
76,6,5,7,2,1,1,3,4,4,1,0,0,0,0,0,1
143,10,15,42,6,5,0,5,33,6,1,1,0,0,0,0,1
192,8,0,180,2,2,0,9,69,0,3,0,0,0,0,0,0
67,6,0,57,1,5,0,3,10,0,1,0,0,0,0,0,0
82,6,0,32,2,4,0,3,23,2,0,0,0,0,0,0,0
40,9,7,19,2,0,0,2,0,0,0,0,0,0,0,0,0
40,17,0,19,1,1,0,2,0,0,0,0,0,0,0,0,1
227,10,0,48,2,1,1,7,84,8,1,0,0,0,0,0,1
86,5,0,18,2,0,2,2,8,10,0,0,0,0,0,0,1
36,8,16,7,4,0,0,1,0,0,2,0,1,0,0,0,1
297,17,220,53,17,13,0,5,89,1,3,0,0,0,0,0,0
35,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,7,0,47,1,3,0,3,5,0,0,0,0,0,0,0,0
52,7,0,38,3,1,0,3,2,0,0,0,0,0,0,0,1
116,5,6,100,3,8,3,4,2,0,0,0,0,0,0,0,1
27,2,0,21,1,1,0,3,7,0,0,0,0,0,0,0,1
65,10,0,51,2,6,1,3,8,0,0,0,0,0,0,0,1
240,7,0,10,2,4,3,1,20,2,0,0,0,0,1,0,1
42,8,0,31,2,0,0,5,3,0,0,0,0,0,0,0,1
80,2,11,25,3,0,1,4,7,4,0,0,0,0,0,0,0
29,12,0,17,5,0,0,1,14,0,0,0,0,1,0,0,1
15,6,0,6,1,0,0,1,5,0,0,0,0,0,0,0,1
31,9,0,19,2,0,0,2,2,0,0,0,0,0,0,0,1
30,11,15,0,2,2,0,0,4,0,0,0,0,0,1,0,1
34,11,0,19,1,0,0,4,0,0,0,0,0,0,0,0,1
72,4,5,10,3,0,1,1,5,8,0,0,0,0,0,0,1
52,18,0,30,1,1,0,6,2,0,0,0,0,0,0,0,1
85,7,0,74,1,10,0,2,10,0,0,0,0,0,0,0,0
43,9,0,30,1,1,0,3,0,0,0,0,0,0,0,0,0
56,17,0,36,2,1,0,3,0,0,0,0,0,0,0,0,1
28,14,0,10,1,0,0,1,3,0,0,0,0,0,0,0,0
94,8,0,80,6,1,0,5,13,0,0,0,0,0,0,0,1
81,5,0,10,3,0,1,1,3,10,0,0,0,0,0,0,1
61,18,0,39,1,4,0,4,8,0,0,0,0,0,0,0,0
58,17,2,34,2,5,0,2,0,0,0,0,0,0,0,0,0
